prop_covert,beta,prop_covert_top_k,prop_overt_top_k,prop_covert_rescaled,prop_all_minorities_top_k
0.0,0.8,0.0,0.09,0.0,0.09
0.0,0.85,0.0,0.08470588235294117,0.0,0.08470588235294117
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.12,0.0,0.12
0.0,0.1,0.0,0.13,0.0,0.13
0.0,0.15,0.0,0.10666666666666667,0.0,0.10666666666666667
0.0,0.2,0.0,0.135,0.0,0.135
0.0,0.25,0.0,0.136,0.0,0.136
0.0,0.3,0.0,0.15333333333333332,0.0,0.15333333333333332
0.0,0.35,0.0,0.17714285714285713,0.0,0.17714285714285713
0.0,0.4,0.0,0.1575,0.0,0.1575
0.0,0.45,0.0,0.14,0.0,0.14
0.0,0.5,0.0,0.126,0.0,0.126
0.0,0.55,0.0,0.11454545454545455,0.0,0.11454545454545455
0.0,0.6,0.0,0.105,0.0,0.105
0.0,0.65,0.0,0.09692307692307692,0.0,0.09692307692307692
0.0,0.7,0.0,0.09,0.0,0.09
0.0,0.75,0.0,0.084,0.0,0.084
0.0,0.8,0.0,0.07875,0.0,0.07875
0.0,0.85,0.0,0.07411764705882352,0.0,0.07411764705882352
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.06,0.0,0.06
0.0,0.1,0.0,0.15,0.0,0.15
0.0,0.15,0.0,0.11333333333333333,0.0,0.11333333333333333
0.0,0.2,0.0,0.13,0.0,0.13
0.0,0.25,0.0,0.14,0.0,0.14
0.0,0.3,0.0,0.15,0.0,0.15
0.0,0.35,0.0,0.15428571428571428,0.0,0.15428571428571428
0.0,0.4,0.0,0.15,0.0,0.15
0.0,0.45,0.0,0.13333333333333333,0.0,0.13333333333333333
0.0,0.5,0.0,0.12,0.0,0.12
0.0,0.55,0.0,0.10909090909090909,0.0,0.10909090909090909
0.0,0.6,0.0,0.1,0.0,0.1
0.0,0.65,0.0,0.09230769230769231,0.0,0.09230769230769231
0.0,0.7,0.0,0.08571428571428572,0.0,0.08571428571428572
0.0,0.75,0.0,0.08,0.0,0.08
0.0,0.8,0.0,0.075,0.0,0.075
0.0,0.85,0.0,0.07058823529411765,0.0,0.07058823529411765
0.0,0.9,0.0,0.1111111111111111,0.0,0.1111111111111111
0.0,0.95,0.0,0.15789473684210525,0.0,0.15789473684210525
0.0,1.0,0.0,0.2,0.0,0.2
0.0,0.05,0.0,0.06,0.0,0.06
0.0,0.1,0.0,0.08,0.0,0.08
0.0,0.15,0.0,0.14,0.0,0.14
0.0,0.2,0.0,0.15,0.0,0.15
0.0,0.25,0.0,0.148,0.0,0.148
0.0,0.3,0.0,0.16666666666666666,0.0,0.16666666666666666
0.0,0.35,0.0,0.18,0.0,0.18
0.0,0.4,0.0,0.1625,0.0,0.1625
0.0,0.45,0.0,0.14444444444444443,0.0,0.14444444444444443
0.0,0.5,0.0,0.13,0.0,0.13
0.0,0.55,0.0,0.11818181818181818,0.0,0.11818181818181818
0.0,0.6,0.0,0.10833333333333334,0.0,0.10833333333333334
0.0,0.65,0.0,0.1,0.0,0.1
0.0,0.7,0.0,0.09285714285714286,0.0,0.09285714285714286
0.0,0.75,0.0,0.08666666666666667,0.0,0.08666666666666667
0.0,0.8,0.0,0.08125,0.0,0.08125
0.0,0.85,0.0,0.07647058823529412,0.0,0.07647058823529412
